business_id,name,address,city,categories,stars,review_count,latitude,longitude
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ","1616 Chapala St, Ste 2",Santa Barbara,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists",5.0,7,34.4266787,-119.7111968
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,87 Grasso Plaza Shopping Center,Affton,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services",3.0,15,38.551126,-90.335695
tUFrWirKiKi_TAnsVWINQQ,Target,5255 E Broadway Blvd,Tucson,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores",3.5,22,32.223236,-110.880452
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",4.0,80,39.9555052,-75.1555641
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,101 Walnut St,Green Lane,"Brewpubs, Breweries, Food",4.5,13,40.3381827,-75.4716585
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,615 S Main St,Ashland City,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",2.0,6,36.269593,-87.058943
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,"8522 Eager Road, Dierbergs Brentwood Point",Brentwood,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories",2.5,13,38.627695,-90.340465
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,400 Pasadena Ave S,St. Petersburg,"Synagogues, Religious Organizations",3.5,5,27.76659,-82.732983
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,8025 Mackenzie Rd,Affton,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",3.0,19,38.5651648,-90.3210868
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,2312 Dickerson Pike,Nashville,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",1.5,10,36.2081024,-86.7681696
UJsufbvfyfONHeWdvAHKjA,Marshalls,21705 Village Lakes Sc Dr,Land O' Lakes,"Department Stores, Shopping, Fashion",3.5,6,28.1904587953,-82.4573802199
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,,Tampa Bay,"Vietnamese, Food, Restaurants, Food Trucks",4.0,10,27.9552692,-82.4563199
il_Ro8jwPlHresjw9EGmBg,Denny's,8901 US 31 S,Indianapolis,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",2.5,28,39.6371332838,-86.127217412
